source_date,code,name,market,market_slug,sector,industry
20260131,5541,大平洋金属,プライム,prime,鉄鋼,鉄鋼・非鉄
20260131,5542,新報国マテリアル,スタンダード,standard,鉄鋼,鉄鋼・非鉄
20260131,5563,新日本電工,プライム,prime,鉄鋼,鉄鋼・非鉄
20260131,5570,ジェノバ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5571,エキサイトホールディングス,スタンダード,standard,情報・通信業,情報通信・サービスその他
20260131,5572,Ｒｉｄｇｅ－ｉ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5574,ＡＢＥＪＡ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5575,Ｇｌｏｂｅｅ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5576,オービーシステム,スタンダード,standard,情報・通信業,情報通信・サービスその他
20260131,5578,ＡＲアドバンストテクノロジ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5580,プロディライト,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5582,グリッド,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5586,Ｌａｂｏｒｏ．ＡＩ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5587,インバウンドプラットフォーム,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5588,ファーストアカウンティング,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5589,オートサーバー,スタンダード,standard,情報・通信業,情報通信・サービスその他
20260131,5590,ネットスターズ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5591,ＡＶＩＬＥＮ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5592,くすりの窓口,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5597,ブルーイノベーション,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5599,Ｓ＆Ｊ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5602,栗本鐵工所,プライム,prime,鉄鋼,鉄鋼・非鉄
20260131,5603,虹技,スタンダード,standard,鉄鋼,鉄鋼・非鉄
20260131,5609,日本鋳造,スタンダード,standard,鉄鋼,鉄鋼・非鉄
20260131,5612,日本鋳鉄管,スタンダード,standard,鉄鋼,鉄鋼・非鉄
20260131,5616,雨風太陽,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5618,ナイル,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5619,マーソ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5621,ヒューマンテクノロジーズ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,5631,日本製鋼所,プライム,prime,機械,機械
20260131,5632,三菱製鋼,プライム,prime,鉄鋼,鉄鋼・非鉄
20260131,5644,メタルアート,スタンダード,standard,鉄鋼,鉄鋼・非鉄
20260131,5658,日亜鋼業,スタンダード,standard,鉄鋼,鉄鋼・非鉄
20260131,5659,日本精線,プライム,prime,鉄鋼,鉄鋼・非鉄
20260131,5660,神鋼鋼線工業,スタンダード,standard,鉄鋼,鉄鋼・非鉄
20260131,5695,パウダーテック,スタンダード,standard,鉄鋼,鉄鋼・非鉄
20260131,5697,サンユウ,スタンダード,standard,鉄鋼,鉄鋼・非鉄
20260131,5698,エンビプロ・ホールディングス,スタンダード,standard,鉄鋼,鉄鋼・非鉄
20260131,5699,イボキン,スタンダード,standard,鉄鋼,鉄鋼・非鉄
20260131,5702,大紀アルミニウム工業所,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5703,日本軽金属ホールディングス,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5704,ＪＭＣ,グロース,growth,非鉄金属,鉄鋼・非鉄
20260131,5706,三井金属,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5707,東邦亜鉛,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5711,三菱マテリアル,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5713,住友金属鉱山,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5714,ＤＯＷＡホールディングス,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5715,古河機械金属,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5721,エス・サイエンス,スタンダード,standard,非鉄金属,鉄鋼・非鉄
20260131,5724,アサカ理研,スタンダード,standard,非鉄金属,鉄鋼・非鉄
20260131,5726,大阪チタニウムテクノロジーズ,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5727,東邦チタニウム,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5729,日本精鉱,スタンダード,standard,非鉄金属,鉄鋼・非鉄
20260131,5741,ＵＡＣＪ,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5742,エヌアイシ・オートテック,スタンダード,standard,非鉄金属,鉄鋼・非鉄
20260131,5753,日本伸銅,スタンダード,standard,非鉄金属,鉄鋼・非鉄
20260131,5757,ＣＫサンエツ,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5801,古河電気工業,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5802,住友電気工業,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5803,フジクラ,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5805,ＳＷＣＣ,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5816,オーナンバ,スタンダード,standard,非鉄金属,鉄鋼・非鉄
20260131,5817,ＪＭＡＣＳ,スタンダード,standard,非鉄金属,鉄鋼・非鉄
20260131,5819,カナレ電気,スタンダード,standard,非鉄金属,鉄鋼・非鉄
20260131,5820,三ッ星,スタンダード,standard,非鉄金属,鉄鋼・非鉄
20260131,5821,平河ヒューテック,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5830,いよぎんホールディングス,プライム,prime,銀行業,銀行
20260131,5831,しずおかフィナンシャルグループ,プライム,prime,銀行業,銀行
20260131,5832,ちゅうぎんフィナンシャルグループ,プライム,prime,銀行業,銀行
20260131,5834,ＳＢＩリーシングサービス,グロース,growth,証券、商品先物取引業,金融（除く銀行）
20260131,5838,楽天銀行,プライム,prime,銀行業,銀行
20260131,5842,インテグラル,グロース,growth,証券、商品先物取引業,金融（除く銀行）
20260131,5843,ニッポンインシュア,スタンダード,standard,その他金融業,金融（除く銀行）
20260131,5844,京都フィナンシャルグループ,プライム,prime,銀行業,銀行
20260131,5845,全保連,スタンダード,standard,その他金融業,金融（除く銀行）
20260131,5851,リョービ,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5852,アーレスティ,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5856,エルアイイーエイチ,スタンダード,standard,小売業,小売
20260131,5857,ＡＲＥホールディングス,プライム,prime,非鉄金属,鉄鋼・非鉄
20260131,5858,ＳＴＧ,グロース,growth,非鉄金属,鉄鋼・非鉄
20260131,5867,エスネットワークス,グロース,growth,サービス業,情報通信・サービスその他
20260131,5868,ロココ,スタンダード,standard,サービス業,情報通信・サービスその他
20260131,5869,早稲田学習研究会,スタンダード,standard,サービス業,情報通信・サービスその他
20260131,5870,ナルネットコミュニケーションズ,グロース,growth,サービス業,情報通信・サービスその他
20260131,5871,ＳＯＬＩＺＥ　Ｈｏｌｄｉｎｇｓ,スタンダード,standard,サービス業,情報通信・サービスその他
20260131,5884,クラダシ,グロース,growth,小売業,小売
20260131,5885,ジーデップ・アドバンス,スタンダード,standard,卸売業,商社・卸売
20260131,5888,ＤＡＩＷＡ　ＣＹＣＬＥ,グロース,growth,小売業,小売
20260131,5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,プライム,prime,小売業,小売
20260131,5891,魁力屋,スタンダード,standard,小売業,小売
20260131,5892,ｙｕｔｏｒｉ,グロース,growth,小売業,小売
20260131,5900,ダイケン,スタンダード,standard,金属製品,建設・資材
20260131,5901,東洋製罐グループホールディングス,プライム,prime,金属製品,建設・資材
20260131,5902,ホッカンホールディングス,プライム,prime,金属製品,建設・資材
20260131,5903,シンポ,スタンダード,standard,金属製品,建設・資材
20260131,5905,日本製罐,スタンダード,standard,金属製品,建設・資材
20260131,5906,エムケー精工,スタンダード,standard,金属製品,建設・資材
20260131,5909,コロナ,スタンダード,standard,金属製品,建設・資材
20260131,5911,横河ブリッジホールディングス,プライム,prime,金属製品,建設・資材
20260131,5915,駒井ハルテック,スタンダード,standard,金属製品,建設・資材
20260131,5918,瀧上工業,スタンダード,standard,金属製品,建設・資材
20260131,5921,川岸工業,スタンダード,standard,金属製品,建設・資材
20260131,5922,那須電機鉄工,スタンダード,standard,金属製品,建設・資材
20260131,5923,高田機工,スタンダード,standard,金属製品,建設・資材
20260131,5928,アルメタックス,スタンダード,standard,金属製品,建設・資材
20260131,5929,三和ホールディングス,プライム,prime,金属製品,建設・資材
20260131,5930,文化シヤッター,プライム,prime,金属製品,建設・資材
20260131,5932,三協立山,プライム,prime,金属製品,建設・資材
20260131,5933,アルインコ,プライム,prime,金属製品,建設・資材
20260131,5936,東洋シヤッター,スタンダード,standard,金属製品,建設・資材
20260131,5938,ＬＩＸＩＬ,プライム,prime,金属製品,建設・資材
20260131,5939,大谷工業,スタンダード,standard,金属製品,建設・資材
20260131,5940,不二サッシ,スタンダード,standard,金属製品,建設・資材
20260131,5941,中西製作所,スタンダード,standard,金属製品,建設・資材
20260131,5942,日本フイルコン,スタンダード,standard,金属製品,建設・資材
20260131,5943,ノーリツ,プライム,prime,金属製品,建設・資材
20260131,5945,天龍製鋸,スタンダード,standard,金属製品,建設・資材
20260131,5946,長府製作所,プライム,prime,金属製品,建設・資材
20260131,5947,リンナイ,プライム,prime,金属製品,建設・資材
20260131,5949,ユニプレス,プライム,prime,輸送用機器,自動車・輸送機
20260131,5950,日本パワーファスニング,スタンダード,standard,金属製品,建設・資材
20260131,5951,ダイニチ工業,スタンダード,standard,金属製品,建設・資材
20260131,5952,アマテイ,スタンダード,standard,金属製品,建設・資材
20260131,5955,ワイズホールディングス,スタンダード,standard,金属製品,建設・資材
20260131,5956,トーソー,スタンダード,standard,金属製品,建設・資材
20260131,5957,日東精工,プライム,prime,金属製品,建設・資材
20260131,5958,三洋工業,スタンダード,standard,金属製品,建設・資材
20260131,5959,岡部,プライム,prime,金属製品,建設・資材
20260131,5962,浅香工業,スタンダード,standard,その他製品,情報通信・サービスその他
20260131,5965,フジマック,スタンダード,standard,金属製品,建設・資材
20260131,5966,京都機械工具,スタンダード,standard,金属製品,建設・資材
20260131,5967,ＴＯＮＥ,スタンダード,standard,金属製品,建設・資材
20260131,5969,ロブテックス,スタンダード,standard,金属製品,建設・資材
20260131,5970,ジーテクト,プライム,prime,金属製品,建設・資材
20260131,5971,共和工業所,スタンダード,standard,金属製品,建設・資材
20260131,5973,トーアミ,スタンダード,standard,金属製品,建設・資材
20260131,5974,中国工業,スタンダード,standard,金属製品,建設・資材
20260131,5975,東プレ,プライム,prime,金属製品,建設・資材
20260131,5976,高周波熱錬,プライム,prime,金属製品,建設・資材
20260131,5981,東京製綱,プライム,prime,金属製品,建設・資材
20260131,5982,マルゼン,スタンダード,standard,金属製品,建設・資材
20260131,5983,イワブチ,スタンダード,standard,金属製品,建設・資材
20260131,5984,兼房,スタンダード,standard,金属製品,建設・資材
20260131,5985,サンコール,スタンダード,standard,金属製品,建設・資材
20260131,5986,モリテック　スチール,スタンダード,standard,金属製品,建設・資材
20260131,5987,オーネックス,スタンダード,standard,金属製品,建設・資材
20260131,5988,パイオラックス,プライム,prime,金属製品,建設・資材
20260131,5989,エイチワン,プライム,prime,金属製品,建設・資材
20260131,5990,スーパーツール,スタンダード,standard,金属製品,建設・資材
20260131,5991,日本発條,プライム,prime,金属製品,建設・資材
20260131,5992,中央発條,スタンダード,standard,金属製品,建設・資材
20260131,5994,ファインシンター,スタンダード,standard,金属製品,建設・資材
20260131,5997,協立エアテック,スタンダード,standard,金属製品,建設・資材
20260131,5998,アドバネクス,スタンダード,standard,金属製品,建設・資材
20260131,6005,三浦工業,プライム,prime,機械,機械
20260131,6013,タクマ,プライム,prime,機械,機械
