code,name,sector,industry
4151,KYOWA KIRIN CO., LTD.,Technology,Pharmaceuticals
4502,TAKEDA PHARMACEUTICAL CO., LTD.,Technology,Pharmaceuticals
4503,ASTELLAS PHARMA INC.,Technology,Pharmaceuticals
4506,SUMITOMO PHARMA CO., LTD.,Technology,Pharmaceuticals
4507,SHIONOGI & CO., LTD.,Technology,Pharmaceuticals
4519,CHUGAI PHARMACEUTICAL CO., LTD.,Technology,Pharmaceuticals
4523,EISAI CO., LTD.,Technology,Pharmaceuticals
4568,DAIICHI SANKYO CO., LTD.,Technology,Pharmaceuticals
4578,OTSUKA HOLDINGS CO., LTD.,Technology,Pharmaceuticals
4062,IBIDEN CO., LTD.,Technology,Electric Machinery
6479,MINEBEA MITSUMI INC.,Technology,Electric Machinery
6501,"HITACHI, LTD.",Technology,Electric Machinery
6503,MITSUBISHI ELECTRIC CORP.,Technology,Electric Machinery
6504,FUJI ELECTRIC CO., LTD.,Technology,Electric Machinery
6506,YASKAWA ELECTRIC CORP.,Technology,Electric Machinery
6526,SOCIONEXT INC.,Technology,Electric Machinery
6645,OMRON CORP.,Technology,Electric Machinery
6674,GS YUASA CORP.,Technology,Electric Machinery
6701,NEC CORP.,Technology,Electric Machinery
6702,FUJITSU LTD.,Technology,Electric Machinery
6723,RENESAS ELECTRONICS CORP.,Technology,Electric Machinery
6724,SEIKO EPSON CORP.,Technology,Electric Machinery
6752,PANASONIC HOLDINGS CORP.,Technology,Electric Machinery
6753,SHARP CORP.,Technology,Electric Machinery
6758,SONY GROUP CORP.,Technology,Electric Machinery
6762,TDK CORP.,Technology,Electric Machinery
6770,ALPS ALPINE CO., LTD.,Technology,Electric Machinery
6841,YOKOGAWA ELECTRIC CORP.,Technology,Electric Machinery
6857,ADVANTEST CORP.,Technology,Electric Machinery
6861,KEYENCE CORP.,Technology,Electric Machinery
6902,DENSO CORP.,Technology,Electric Machinery
6920,LASERTEC CORP.,Technology,Electric Machinery
6952,CASIO COMPUTER CO., LTD.,Technology,Electric Machinery
6954,FANUC CORP.,Technology,Electric Machinery
6963,ROHM CO., LTD.,Technology,Electric Machinery
6971,KYOCERA CORP.,Technology,Electric Machinery
6976,TAIYO YUDEN CO., LTD.,Technology,Electric Machinery
6981,MURATA MANUFACTURING CO., LTD.,Technology,Electric Machinery
7735,SCREEN HOLDINGS CO., LTD.,Technology,Electric Machinery
